,t,msd
728,72.8,32.52454
729,72.9,32.527237
730,73.0,32.529488
731,73.1,32.54582
732,73.2,32.556564
733,73.3,32.566086
734,73.4,32.576164
735,73.5,32.574177
736,73.6,32.57945
737,73.7,32.600124
738,73.8,32.605488
739,73.9,32.631268
740,74.0,32.655704
741,74.1,32.686543
742,74.2,32.68868
743,74.3,32.71982
744,74.4,32.74182
745,74.5,32.76918
746,74.6,32.785717
747,74.7,32.799904
748,74.8,32.79716
749,74.9,32.813515
750,75.0,32.841576
751,75.1,32.836815
752,75.2,32.852783
753,75.3,32.892708
754,75.4,32.90972
755,75.5,32.927563
756,75.6,32.94879
757,75.7,32.96389
758,75.8,32.982796
759,75.9,33.006973
760,76.0,33.031593
761,76.1,33.05841
762,76.2,33.080074
763,76.3,33.094498
764,76.4,33.12374
765,76.5,33.153484
766,76.6,33.17482
767,76.7,33.197273
768,76.8,33.206005
769,76.9,33.21407
770,77.0,33.24357
771,77.1,33.254448
772,77.2,33.283546
773,77.3,33.2653
774,77.4,33.27078
775,77.5,33.300198
776,77.6,33.314068
777,77.7,33.332577
778,77.8,33.357655
779,77.9,33.38143
780,78.0,33.401047
781,78.1,33.419632
782,78.2,33.430115
783,78.3,33.447266
784,78.4,33.460625
785,78.5,33.451187
786,78.6,33.46905
787,78.7,33.481167
788,78.8,33.4933
789,78.9,33.49228
790,79.0,33.50969
791,79.1,33.52154
792,79.2,33.520622
793,79.3,33.530064
794,79.4,33.52631
795,79.5,33.54237
796,79.6,33.5524
797,79.7,33.552956
798,79.8,33.577274
799,79.9,33.60484
800,80.0,33.60633
801,80.1,33.61916
802,80.2,33.634285
803,80.3,33.652668
804,80.4,33.686646
805,80.5,33.70196
806,80.6,33.720287
807,80.7,33.721653
808,80.8,33.71549
809,80.9,33.730434
810,81.0,33.74943
811,81.1,33.769997
812,81.2,33.807556
813,81.3,33.82927
814,81.4,33.84023
815,81.5,33.866394
816,81.6,33.881702
817,81.7,33.894356
818,81.8,33.927498
819,81.9,33.95896
820,82.0,33.990658
821,82.1,34.002663
822,82.2,34.0275
823,82.3,34.041653
824,82.4,34.060623
825,82.5,34.07974
826,82.6,34.092678
827,82.7,34.133167
828,82.8,34.16327
829,82.9,34.186752
830,83.0,34.208897
831,83.1,34.24695
832,83.2,34.26564
833,83.3,34.297207
834,83.4,34.31441
835,83.5,34.346767
836,83.6,34.354836
837,83.7,34.367016
838,83.8,34.395824
839,83.9,34.42087
840,84.0,34.417614
841,84.1,34.426785
842,84.2,34.4536
843,84.3,34.47546
844,84.4,34.49774
845,84.5,34.519337
846,84.6,34.523624
847,84.7,34.54555
848,84.8,34.57362
849,84.9,34.619164
850,85.0,34.647892
851,85.1,34.665833
852,85.2,34.67954
853,85.3,34.70478
854,85.4,34.73359
855,85.5,34.759754
856,85.6,34.799313
857,85.7,34.832153
858,85.8,34.8511
859,85.9,34.869495
860,86.0,34.86346
861,86.1,34.854584
862,86.2,34.85377
863,86.3,34.866783
864,86.4,34.85957
865,86.5,34.871155
866,86.6,34.88806
867,86.7,34.894596
868,86.8,34.90597
869,86.9,34.917458
870,87.0,34.91496
871,87.1,34.931698
872,87.2,34.967045
873,87.3,34.990223
874,87.4,35.02002
875,87.5,35.03027
876,87.6,35.050877
877,87.7,35.0706
878,87.8,35.09321
879,87.9,35.123966
880,88.0,35.14878
881,88.1,35.162987
882,88.2,35.18607
883,88.3,35.19988
884,88.4,35.183586
885,88.5,35.164078
886,88.6,35.161663
887,88.7,35.169792
888,88.8,35.16832
889,88.9,35.176636
890,89.0,35.172424
891,89.1,35.145897
892,89.2,35.151337
893,89.3,35.14192
894,89.4,35.127647
895,89.5,35.11021
896,89.6,35.108376
897,89.7,35.11164
898,89.8,35.136925
899,89.9,35.146606
900,90.0,35.16126
901,90.1,35.164463
902,90.2,35.175125
903,90.3,35.202347
904,90.4,35.21876
905,90.5,35.229042
906,90.6,35.238968
907,90.7,35.261875
908,90.8,35.29767
909,90.9,35.30845
910,91.0,35.312492
911,91.1,35.31383
912,91.2,35.33635
913,91.3,35.368916
914,91.4,35.382404
915,91.5,35.388023
916,91.6,35.40654
917,91.7,35.425236
918,91.8,35.44211
919,91.9,35.450302
920,92.0,35.464024
921,92.1,35.46918
922,92.2,35.495865
923,92.3,35.49768
924,92.4,35.494186
925,92.5,35.501823
926,92.6,35.514267
927,92.7,35.518257
928,92.8,35.537514
929,92.9,35.561893
930,93.0,35.576965
931,93.1,35.597477
932,93.2,35.611492
933,93.3,35.625134
934,93.4,35.654327
935,93.5,35.697567
936,93.6,35.730827
937,93.7,35.749817
938,93.8,35.783474
939,93.9,35.806057
940,94.0,35.81493
941,94.1,35.813126
942,94.2,35.836105
943,94.3,35.86015
944,94.4,35.87975
945,94.5,35.898643
946,94.6,35.9206
947,94.7,35.92034
948,94.8,35.927624
949,94.9,35.944565
950,95.0,35.985546
951,95.1,36.012157
952,95.2,36.043602
953,95.3,36.050827
954,95.4,36.07236
955,95.5,36.104374
956,95.6,36.141453
957,95.7,36.187733
958,95.8,36.22655
959,95.9,36.249165
960,96.0,36.279144
961,96.1,36.309544
962,96.2,36.344513
963,96.3,36.370457
964,96.4,36.39093
965,96.5,36.39711
966,96.6,36.432014
967,96.7,36.472054
968,96.8,36.52007
969,96.9,36.551147
970,97.0,36.570316
971,97.1,36.586143
972,97.2,36.599457
973,97.3,36.613037
974,97.4,36.622272
975,97.5,36.615013
976,97.6,36.64077
977,97.7,36.67879
978,97.8,36.699543
979,97.9,36.72061
980,98.0,36.745785
981,98.1,36.77335
982,98.2,36.795734
983,98.3,36.81819
984,98.4,36.853474
985,98.5,36.88091
986,98.6,36.908875
987,98.7,36.920868
988,98.8,36.93819
989,98.9,36.946793
990,99.0,36.97224
991,99.1,36.99801
992,99.2,37.034176
993,99.3,37.049908
994,99.4,37.067444
995,99.5,37.07641
996,99.6,37.0985
997,99.7,37.137978
998,99.8,37.14436
999,99.9,37.160473
